Match_ID,Match_Date,Championship_Match,WinLoss,WinChampionship,LoseChampionship,SinglesChampionshipHeld,TagChampionshipHeld,IsTitleMatch
2326,13.12.2025,Exhibition,Loss,No,No,No Championship,No Championship,No
2325,29.11.2025,WWE Intercontinental Championship,Loss,No,Yes,WWE Intercontinental Championship,No Championship,Yes
2324,17.11.2025,Exhibition,Win,No,No,WWE Intercontinental Championship,No Championship,No
2323,10.11.2025,WWE Intercontinental Championship,Win,Yes,No,WWE Intercontinental Championship,No Championship,Yes
2322,11.10.2025,Exhibition,Win,No,No,No Championship,No Championship,No
2321,20.09.2025,Exhibition,Loss,No,No,No Championship,No Championship,No
2320,05.09.2025,WWE United States Championship,No Contest,No,No,No Championship,No Championship,Yes
2319,31.08.2025,Exhibition,Win,No,No,No Championship,No Championship,No
2318,08.08.2025,Exhibition,Win,No,No,No Championship,No Championship,No
2317,03.08.2025,WWE Undisputed Championship,Loss,No,Yes,WWE Undisputed Championship,No Championship,Yes
2316,28.06.2025,WWE Undisputed Championship,Win,No,No,WWE Undisputed Championship,No Championship,Yes
2315,20.06.2025,Exhibition,Loss,No,No,WWE Undisputed Championship,No Championship,No
2314,07.06.2025,Exhibition,Loss,No,No,WWE Undisputed Championship,No Championship,No
2313,24.05.2025,Exhibition,Win,No,No,WWE Undisputed Championship,No Championship,No
2312,10.05.2025,WWE Undisputed Championship,Win,No,No,WWE Undisputed Championship,No Championship,Yes
2311,20.04.2025,WWE Undisputed Championship,Win,Yes,No,WWE Undisputed Championship,No Championship,Yes
2310,01.03.2025,Contendership,Win,No,No,No Championship,No Championship,No
2309,01.02.2025,Contendership,Loss,No,No,No Championship,No Championship,No
2308,08.04.2024,Exhibition,Win,No,No,No Championship,No Championship,No
2307,04.11.2023,Exhibition,Loss,No,No,No Championship,No Championship,No
2306,07.10.2023,Exhibition,Win,No,No,No Championship,No Championship,No
2305,06.10.2023,Exhibition,Win,No,No,No Championship,No Championship,No
2304,29.09.2023,Exhibition,Win,No,No,No Championship,No Championship,No
2303,22.09.2023,Exhibition,Win,No,No,No Championship,No Championship,No
