Match_ID,Match_Date,Venue,CityTown,StateProvince,Country
2326,13.12.2025,Capital One Arena,Washington,District Of Columbia,USA
2325,29.11.2025,Petco Park,San Diego,California,USA
2324,17.11.2025,Madison Square Garden,New York City,New York,USA
2323,10.11.2025,TD Garden,Boston,Massachusetts,USA
2322,11.10.2025,RAC Arena,Perth,Western Australia,Australia
2321,20.09.2025,Gainbridge Fieldhouse,Indianapolis,Indiana,USA
2320,05.09.2025,Allstate Arena,Rosemont,Illinois,USA
2319,31.08.2025,Paris La Défense Arena,Nanterre,France,France
2318,08.08.2025,Centre Bell,Montreal,Quebec,Canada
2317,03.08.2025,MetLife Stadium,East Rutherford,New Jersey,USA
2316,28.06.2025,Kingdom Arena,Riyadh,Saudi Arabia,Saudi Arabia
2315,20.06.2025,Van Andel Arena,Grand Rapids,Michigan,USA
2314,07.06.2025,Intuit Dome,Inglewood,California,USA
2313,24.05.2025,Yuengling Center,Tampa,Florida,USA
2312,10.05.2025,Enterprise Center,St. Louis,Missouri,USA
2311,20.04.2025,Allegiant Stadium,Paradise,Nevada,USA
2310,01.03.2025,Rogers Centre,Toronto,Ontario,Canada
2309,01.02.2025,Lucas Oil Stadium,Indianapolis,Indiana,USA
2308,08.04.2024,Wells Fargo Center,Philadelphia,Pennsylvania,USA
2307,04.11.2023,Mohammed Abdo Arena,Riyadh,Saudi Arabia,Saudi Arabia
2306,07.10.2023,Gainbridge Fieldhouse,Indianapolis,Indiana,USA
2305,06.10.2023,Enterprise Center,St. Louis,Missouri,USA
2304,29.09.2023,Golden 1 Center,Sacramento,California,USA
2303,22.09.2023,Desert Diamond Arena,Glendale,Arizona,USA
2302,15.09.2023,Ball Arena,Denver,Colorado,USA
2301,08.09.2023,GMC Balayogi Indoor Stadium,Hyderabad,Telangana,India
2300,01.04.2023,SoFi Stadium,Inglewood,California,USA
2299,30.12.2022,Amalie Arena,Tampa,Florida,USA
2298,10.09.2021,Madison Square Garden,New York City,New York,USA
2297,21.08.2021,Allegiant Stadium,Paradise,Nevada,USA
2296,20.08.2021,Footprint Center,Phoenix,Arizona,USA
2295,15.08.2021,Colonial Life Arena,Columbia,South Carolina,USA
2294,14.08.2021,Spectrum Center,Charlotte,North Carolina,USA
2293,13.08.2021,BOK Center,Tulsa,Oklahoma,USA
2292,09.08.2021,Amway Center,Orlando,Florida,USA
2291,07.08.2021,Hertz Arena,Fort Myers,Florida,USA
2290,06.08.2021,Amalie Arena,Tampa,Florida,USA
2289,01.08.2021,Little Caesars Arena,Detroit,Michigan,USA
2288,31.07.2021,Fiserv Forum,Milwaukee,Wisconsin,USA
2287,30.07.2021,Target Center,Minneapolis,Minnesota,USA
2286,26.07.2021,T-Mobile Center,Kansas City,Missouri,USA
2285,25.07.2021,KFC Yum! Center,Louisville,Kentucky,USA
2284,24.07.2021,PPG Paints Arena,Pittsburgh,Pennsylvania,USA
2283,23.07.2021,Rocket Mortgage FieldHouse,Cleveland,Ohio,USA
2282,26.03.2020,WWE Performance Center,Orlando,Florida,USA
2281,14.01.2019,FedExForum,Memphis,Tennessee,USA
2280,13.01.2019,Propst Arena At Von Braun Center,Huntsville,Alabama,USA
2279,12.01.2019,Knoxville Civic Coliseum,Knoxville,Tennessee,USA
